,actors,awards,box_office,country,director,dvd,genre,imdb_id,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,ratings,released,response,runtime,title,total_seasons,type,website,writer,year
0,"Milla Jovovich, Angus Macfadyen, Stephen Dorff, Aisha Tyler",N/A,N/A,USA,Gary Lennon,N/A,"Crime, Drama, Thriller",tt0259822,5.6,"7,993",English,N/A,"A story of how obsession, addiction and abuse cause a young woman to execute an elaborate plan of revenge.",https://m.media-amazon.com/images/M/MV5BMjIxNTc1OTg2MV5BMl5BanBnXkFtZTgwODI0NTgwMzE@._V1_SX300.jpg,Media Talent Group,R,"[{'source': 'Internet Movie Database', 'value': '5.6/10'}, {'source': 'Rotten Tomatoes', 'value': '38%'}]",30 Nov 2006,True,101 min,.45,,movie,N/A,Gary Lennon,2006
1,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp",2 wins & 4 nominations.,N/A,USA,Chris Columbus,N/A,"Adventure, Comedy, Crime, Romance",tt0092513,6.9,"37,573",English,45,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,https://m.media-amazon.com/images/M/MV5BZmI3MjM2YTYtZTAxMS00NDA5LWIxODctZjhjMmNkMmRmMWI5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,Touchstone Pictures,PG-13,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '72%'}, {'source': 'Metacritic', 'value': '45/100'}]",03 Jul 1987,True,102 min,Adventures in Babysitting,,movie,N/A,David Simkins,1987
2,"Eddie Murphy, Randy Quaid, Rosario Dawson, Joe Pantoliano",1 win & 12 nominations.,N/A,"USA, Australia",Ron Underwood,N/A,"Comedy, Action, Sci-Fi",tt0180052,3.8,"24,169",English,12,"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.",https://m.media-amazon.com/images/M/MV5BMTQ4NTMwODQwNV5BMl5BanBnXkFtZTYwNTg0Nzk2._V1_SX300.jpg,"Castle Rock Entertainment, NPV Entertainment",PG-13,"[{'source': 'Internet Movie Database', 'value': '3.8/10'}, {'source': 'Rotten Tomatoes', 'value': '4%'}, {'source': 'Metacritic', 'value': '12/100'}]",16 Aug 2002,True,95 min,The Adventures of Pluto Nash,,movie,N/A,Neil Cuthbert,2002
3,"Meg Ryan, Omar Epps, Charles S. Dutton, Tony Shalhoub",2 nominations.,N/A,"USA, Germany",Charles S. Dutton,N/A,"Biography, Drama, Romance, Sport",tt0312329,5.3,"6,725",English,36,"A fictional story inspired by North America's most famous female boxing promoter, Jackie Kallen. Her struggle to survive and succeed in a male dominated sport.",https://m.media-amazon.com/images/M/MV5BMjk1NWExNjctOTlmYy00ZjFlLThjN2ItN2FkMTI5YzVlZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Paramount Pictures, Cort/Madden Productions",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}, {'source': 'Rotten Tomatoes', 'value': '12%'}, {'source': 'Metacritic', 'value': '36/100'}]",20 Feb 2004,True,111 min,Against the Ropes,,movie,N/A,"Jackie Kallen (life), Cheryl Edwards",2004
4,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard",3 wins & 5 nominations.,N/A,USA,Luis Mandoki,26 Oct 2004,"Drama, Romance",tt0225071,5.6,"22,375",English,39,"A mysterious man is drawn to a feisty female police officer and a unusual relationship ensues, as not everything is as it seems.",https://m.media-amazon.com/images/M/MV5BNDQwNzI2OTY2Ml5BMl5BanBnXkFtZTYwOTI3ODc5._V1_SX300.jpg,Bandai,R,"[{'source': 'Internet Movie Database', 'value': '5.6/10'}, {'source': 'Metacritic', 'value': '39/100'}]",18 May 2001,True,102 min,Angel Eyes,,movie,N/A,Gerald Di Pego,2001
5,"John White, Christopher McDonald, Jake Siegel, Lexie Galante",N/A,N/A,"Canada, USA",Andrew Waller,N/A,Comedy,tt0974959,5.3,"60,479",English,N/A,"Erik and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler.",https://m.media-amazon.com/images/M/MV5BMmM4NWY0M2YtZDdhYy00ZmRlLTliMGYtYThmNjQ3NWEyOGU0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,Rogue Pictures,R,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}, {'source': 'Rotten Tomatoes', 'value': '56%'}]",26 Dec 2007,True,85 min,American Pie Presents: Beta House,,movie,N/A,"Erik Lindsay, Adam Herz (characters)",2007
6,"John White, Maria Ricossa, Christopher McDonald, Joe Bostick",1 nomination.,N/A,"Canada, USA",Joe Nussbaum,N/A,Comedy,tt0808146,5.1,"65,072",English,N/A,"When Erik Stifler gets a free pass to do whatever he wants from his girlfriend, he and his two best friends head to see his cousin Dwight for the Naked Mile and a weekend they will never forget.",https://m.media-amazon.com/images/M/MV5BNTNlMTk4YjEtMWY1ZC00ODkzLWEzM2UtZmFiYjUwYTRhOWZkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,Universal Pictures,R,"[{'source': 'Internet Movie Database', 'value': '5.1/10'}, {'source': 'Rotten Tomatoes', 'value': '0%'}]",19 Dec 2006,True,97 min,American Pie Presents: The Naked Mile,,movie,N/A,"Adam Herz (characters), Erik Lindsay",2006
7,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",8 wins & 13 nominations.,N/A,"USA, Canada",Mary Harron,N/A,"Comedy, Crime, Drama",tt0144084,7.6,"480,597","English, Spanish, Cantonese",64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"P.P.S. Films, Lions Gate Entertainment, Edward R. Pressman Film Corp., Muse Productions, Quadra Entertainment",R,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}, {'source': 'Rotten Tomatoes', 'value': '69%'}, {'source': 'Metacritic', 'value': '64/100'}]",14 Apr 2000,True,101 min,American Psycho,,movie,N/A,"Bret Easton Ellis (novel), Mary Harron (screenplay), Guinevere Turner (screenplay)",2000
8,"Mila Kunis, William Shatner, Geraint Wyn Davies, Robin Dunne",N/A,N/A,"USA, Canada",Morgan J. Freeman,N/A,"Horror, Thriller",tt0283877,3.8,"14,366",English,N/A,A girl named Rachael Newman has developed a taste for murder and will stop at nothing to become a college professor's assistant.,https://m.media-amazon.com/images/M/MV5BMjFiNWFjYmUtZThmZi00MThmLWE4OWYtMjFiZmRiZWMzYmRiXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Lionsgate Films,R,"[{'source': 'Internet Movie Database', 'value': '3.8/10'}, {'source': 'Rotten Tomatoes', 'value': '11%'}]",10 Jun 2002,True,88 min,American Psycho II: All American Girl,,movie,N/A,"Alex Sanger (screenplay), Karen Craig (screenplay), Bret Easton Ellis (Characters created by)",2002
9,"Simon Abkarian, Charles Aznavour, Christopher Plummer, Arsinée Khanjian",12 wins & 13 nominations.,N/A,"Canada, France",Atom Egoyan,N/A,"Drama, War",tt0273435,6.3,"11,069","English, Armenian, French, German, Turkish",62,"Interrogated by a customs officer, a young man recounts how his life was changed during the making of a film about the Armenian genocide.",https://m.media-amazon.com/images/M/MV5BZThiZTZjN2EtMTllMC00ZjExLWFlNjQtNWM1YWMyM2MxMWEyXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"Serendipity Point Films, Ego Film Arts",R,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}, {'source': 'Rotten Tomatoes', 'value': '55%'}, {'source': 'Metacritic', 'value': '62/100'}]",06 Dec 2002,True,115 min,Ararat,,movie,N/A,Atom Egoyan,2002
